Title,Authors,Description,Category,Publish Date (Year)
A Break with Charity: A Story about the Salem Witch Trials,"By Rinaldi, Ann","Susanna desperately wants to join the circle of girls who meet every week at the parsonage. What she doesn't realize is that the girls are about to set off a torrent of false accusations leading to the imprisonment and execution of countless innocent people. Susanna faces a painful choice. Should she keep quiet and let the witch-hunt panic continue, or should she ""break charity"" with the group--and risk having her own family members named as witches?Reader's guide included."," Juvenile Fiction , Historical , United States , General",2003
The Overachievers: The Secret Lives of Driven Kids,"By Robbins, Alexandra","""You can't just be the smartest. You have to be the most athletic, you have to be able to have the most fun, you have to be the prettiest, the best dressed, the nicest, the most wanted. You have to constantly be out on the town partying, and then you have to get straight As. And most of all, you have to appear to be happy."" -- CJ, age seventeen High school isn't what it used to be. With record numbers of students competing fiercely to get into college, schools are no longer primarily places of learning. They're dog-eat-dog battlegrounds in which kids must set aside interests and passions in order to strategize over how to game the system. In this increasingly stressful environment, kids aren't defined by their character or hunger for knowledge, but by often arbitrary scores and statistics. In The Overachievers, journalist Alexandra Robbins delivers a poignant, funny, riveting narrative that explores how our high-stakes educational culture has spiraled out of control. During the year of her ten-year reunion, Robbins returns to her high school, where she follows students, including CJ and others:  Julie, a track and academic star who is terrified she's making the wrong choices; ""AP"" Frank, who grapples with horrifying parental pressure to succeed; Taylor, a soccer and lacrosse captain whose ambition threatens her popular girl status; Sam, who worries his years of overachieving will be wasted if he doesn't attend a name-brand college; Audrey, who struggles with perfectionism; and The Stealth Overachiever, a mystery junior who flies under the radar. Robbins tackles hard-hitting issues such as the student and teacher cheating epidemic, over-testing, sports rage, the black market for study drugs, and a college admissions process so cutthroat that some students are driven to depression and suicide because of a B. Even the earliest years of schooling have become insanely competitive, as Robbins learned when she gained unprecedented access into the inner workings of a prestigious Manhattan kindergarten admissions office. A compelling mix of fast-paced storytelling and engrossing investigative journalism, The Overachievers aims both to calm the admissions frenzy and to expose its escalating dangers."," Education , Higher",2007
L. Ron Hubbard Presents Writers of the Future Volume 21,"By Hubbard, L. Ron","As an aspiring artist or writer, you need every advantage you can get to break into the industry—and your key to success can be found in the L. Ron Hubbard Presents, Writers of the Future volumes.Founded by L. Ron Hubbard, the Writers of the Future Contest has provided readers with the best new fantasy and science fiction stories from all over the world for almost two decades. Winning stories are selected by top writers including: Kevin J. Anderson, Algis Budrys, Orson Scott Card, Tim Powers, Anne McCaffrey, Larry Niven, Andre Norton, Frederik Pohl, Jerry Pournelle, Robert J. Sawyer, Robert Silverberg and Jack Williamson.Each volume also contains essays on writing and art from renowned professionals such as L. Ron Hubbard, Orson Scott Card and Frank Frazetta that offer you insights on how to win the contest.""Writers of the Future is a market and you have to KNOW your market if you are going to submit and win. I had the first four volumes of Writers of the Future and just read them over and over before I won and was published in Volume 5."" — K.D. Wentworth, Author"," Fiction , Science Fiction , Collections & Anthologies",2005
The One Minute Manager Meets The Monkey,"By Blanchard, Kenneth H., Oncken, William, and Burrows, Hal","One simple idea can set you free: Don't take on a problem if it isn't yours! One of the most liberating books in the extraordinary One Minute Manager Library teaches managers an unforgettable lesson: how to have time to do what they want and need to do. The authors tell why managers who accept every problem given them by their staffs become hopeless bottlenecks. With a vivid, humorous, and too-familar scenario they show a manager loaded down by all the monkeys that have jumped from their rightful owners onto his back. Then step by step they show how managers can free themselves from doing everyone else's job and ensure that every problem is handled by the proper staff person. By using Oncken's Four Rules of Monkey Management managers will learn to become effective supervisors of time, energy, and talent -- especially their own.If you have ever wondered why you are in the office on the weekends and your staff is on the golf course, The One Minute Manager Meets the Monkey is for youit's priceless!"," Business & Economics , Time Management",1989
Uniforms of the American Revolution Coloring Book (Dover Fashion Coloring Book),"By Copeland, Peter","Thirty-one lively drawings reproduce with complete authenticity uniforms from the American Revolution — British, French, German, and American. Each regiment is described briefly, with complete instructions for accurately coloring the buckskin, fur, and feathered clothing of common soldiers as well as the distinctive hues of the officers' uniforms. Peter Copeland, historical artist and consultant, has reconstructed these uniforms from early descriptions and other source material, illustrating many for the first time."," Juvenile Nonfiction , History , United States , Colonial & Revolutionary Periods",1974
The Family Under the Bridge,"By Williams, Garth (ILT) and Carlson, Natalie Savage","The heartwarming and memorable Newbery Honor-winning book about finding family in the unlikeliest places, featuring artwork by beloved illustrator Garth Williams. Armand, an old Parisian living on the streets of Paris, relished his solitary life. He begged and did odd jobs for money to keep himself warm and fed, and he liked his carefree life. Then one day just before Christmas, a struggling mother and her three children walked into his life. Though he tried to ignore their troubles, Armand soon found himself caring for the family and sharing his unusual home under the bridge with them. It did not take Armand very long to realize that he had gotten himself ready-made family; one that he loved with all his heart, and one for whom he would have to find a better home than the bridge. Children will treasure this warm and funny adventure of family, freedom, and Santa Claus. The book includes illustrations by Garth Williams, the acclaimed illustrator of E. B. White's Charlotte's Web and Laura Ingalls Wilder's Little House series, among many other books."," Juvenile Fiction , Social Themes , Homelessness & Poverty",2019
Lesbian And Gay Families Speak Out Understanding The Joys And Challenges Of Diverse Family Life,"By Drucker, Jane, Ph.D.","""An important book whose time has come!""-Adele Starr, First President of PFLAG (Parents and Friends of Lesbians and Gays) National, and Larry Starr, Co-Founder of PFLAG, Los Angeles, CaliforniaWith an estimated six to fourteen million children living with a gay or lesbian parent, there is a real need for accurate information for and about the realities of these families. With honesty and compassion, Lesbian and Gay Families Speak Out explores the variety of issues they face: from interpersonal relationships and sexual and psychological development, to coming out, dealing with prejudice, and finding a spiritual foundation. Using the compelling stories of over two dozen families in which gay fathers and lesbian mothers are raising children in a wide variety or settings and styles, Drucker proves that children thrive in an environment of love, regardless of the number, gender, or sexual orientation of the adults who provide that love."," Social Science , LGBT Studies , Gay Studies",2001
Improve Your Lateral Thinking: Puzzles To Challenge Your Mind,"By Sloane, Paul and MacHale, Des","Develop lateral thinking skills and improve brain power. The goal is to find a logical explanation for what appears to be an illogical situation. Do the puzzles with a friend, taking turns being puzzle setter and solver. By asking yes-or-no questions the solver attempts to find the solution within 20 minutes. One of ""The Year's best puzzle books.""--Games World of Puzzles.    96 pages, 5 3/8 x 8 1/4."," Games , Puzzles",1995
The Gluten-Free Bible: The Thoroughly Indispensable Guide to Negotiating Life without Wheat,"By Lowell, Jax Peters and Dimarino, Anthony J., M.D. (FRW)","The definitive guide to the gluten-free lifestyle, completely revised and updated for the 2.2 million Americans with celiac disease According to a landmark 2003 National Institutes of Health study, 2.2 million Americans suffer from celiac disease, an allergy to the protein gluten found in wheat. Since this book was first published in 1995 (as Against the Grain), Jax Peters Lowell has been helping celiacs follow a gluten-free diet with creativity, resourcefulness, and humor.This edition includes chapters covering- the latest research into celiac disease, and myths that have     been debunked- how to eat out happily, including a short course in restaurant    assertiveness training- how to eat in happily, including a discussion of online and    mail order suppliers and negotiating the supermarket as a celiac- dozens of delicious new recipes- drugs, cosmetics, and other products tested for celiac-safety- a thoroughly updated resource sectionTens of thousands of celiacs have already enhanced their lives with Lowell's authoritative, witty, and practical guide. The Gluten-free Bible promises to bring relief to the new gluten-intolerant generation."," Cooking , Health & Healing , Allergy",2005
Coming on Home Soon (Caldecott Honor Book),"By Woodson, Jacqueline and Lewis, Earl B. (ILT)","Jacqueline Woodson is the 2018-2019 National Ambassador for Young People’s LiteratureAda Ruth's mama must go away to Chicago to work, leaving Ada Ruth and Grandma behind. It's war time, and women are needed to fill the men's jobs. As winter sets in, Ada Ruth and her grandma keep up their daily routine, missing Mama all the time. They find strength in each other, and a stray kitten even arrives one day to keep them company, but nothing can fill the hole Mama left. Every day they wait, watching for the letter that says Mama will be coming on home soon. Set during World War II, Coming On Home Soon has a timeless quality that will appeal to all who wait and hope."," Juvenile Fiction , Historical , United States , 20th Century",2004
How to Draw Cartoons for Comic Strips (Christopher Hart's How To Draw),"By Hart, Christopher","Here is a comprehensive approach to drawing comic-strip characters in an appealing  contemporary style featuring large-format reproductions that can be easily copied.  A wide range of drawings depicting people of all ages as well as such animals as  cats,dogs, birds, and fish show you how to capture the personality, mood, and character  of a subject. The 275 drawings illustrate head and body construction, how to draw  facial features and expressions, how to use action lines to depict body language,  how to draw hands and feet, and ways to convey emotion and age. The author also offers  valuable tips on developing a comic strip. He shows you how to place subjects within  panels; make a layout; master reverse angles, medium shots, and close-ups; establish  lights and darks; and utilize dialogue balloons. Beginning and intermediate artists—from  the younger audiences attracted to animation to more sophisticated artist who enjoy  New Yorker-type spot cartoons—will find the book of great interest."," Art , Techniques , General",1988
365 Children's Prayers: Prayers Old and New for Today and Everyday,"By Watson, Carol and Baum, Ann (ILT)","A companion volume to The Children's Bible in 365 Stories, this book contains a varied selection of traditional and contemporary material, including many new prayers written to appeal to young contemporary readers. There are a number of prayers written by children themselves, thus reflecting their own concerns and interests. These include praise, thanks, and intercessions, as well as occasional hymn verses. Prayers are arranged thematically in spreads, and cover both everyday subjects and more abstract ideas."," Juvenile Nonfiction , Religion , Christianity",1999
From Ramshackle to Resale: Fixing Up Old Houses for Resale,"By Boyle, Carol","Step-by-step guide to choosing a property; determining the condition; hiring and working with contractors; planning renovations; buying tools and materials; repairing and erecting walls; doing plumbing, wiring, and carpentry; adding decorative touches; and showing and selling the house. Annotation copyright Book News, Inc. Portland, Or."," House & Home , General",1990
The Rosedale Diet,"By Colman, Carol and Rosedale, Ron","Finally—the ultimate diet for fast, safe weight loss, lifelong health, and longer life, based on more than twenty years of research and the latest findings on appetite and weight. Metabolic specialist Ron Rosedale, M.D., has designed the Rosedale Diet to regulate the powerful hormone leptin, which controls appetite and weight loss by telling the brain when to eat, how much to eat—and when to stop. New research shows that leptin may be one of the body's most important hunger control mechanisms. Control leptin, and you control your weight.Most people's leptin levels are out of control, causing them to overeat and to store fat rather than burn it. The only way to flip the ""hunger switch"" back to normal is through a diet high in healthy fats and low in carbohydrates, saturated fat, and trans-fatty acids often found in processed food—plus just 15 minutes of daily exercise.Dr. Rosedale's 21-day diet plan is simple: Just select from the many foods on his ""A"" list, including ""healthy-fat"" foods such as avocados, nuts, olives, lobster, crab, shrimp, goat cheese, Cornish game hen, venison, and more. Then gradually add foods from the ""B"" list, such as steak, lamb chops, fruits, beans, and so on. A 28-day menu plan and more than 100 recipes, such as Dilled Salmon and Fresh Asparagus, Gingery Chicken Soup, Lasagna, Black Bean Wrap, Raspberry Mousse Cake, and French Silk Pie, make eating the Rosedale way deliciously easy.Weight loss is just the beginning. The Rosedale Diet will make you feel satisfied, reduce cravings, and put you in control of your ""sweet tooth."" It can even help eliminate or reduce heart disease, hypertension, diabetes, and other conditions associated with ""natural"" aging, as many of Dr. Rosedale's patients can attest. You'll find inspiring stories from them—and the power to control your weight and improve your health—in this groundbreaking book."," Medical , Diet Therapy",2005
Fighting for Honor: Japanese Americans and World War II,"By Cooper, Michael L.","A stirring account of Japanese Americans in World War II, based mainly on diaries, autobiographies, and the military records of the 442nd Regimental Combat Team, which was known as the Purple Heart Battalion because of its bravery. After the attack on Pearl Harbor in 1941, all people on the West Coast of Japanese heritage, whether resident aliens or citizens, were forced to move into internment camps. But 1,200 young men from the camps, along with 10,000 other GIs of Japanese heritage, became some of the most decorated soldiers in the war as part of the 442nd. Author Michel L. Cooper tells of the remarkable bravery of these Nisei soldiers, whose heroism in battles in Europe contrasted with the prejudice that Japanese Americans faced at home. Chronology, end notes, suggestions for further research, index."," Young Adult Nonfiction , People & Places , United States , Asian American",2000
Teams That Click (The Results-Driven Manager Series),By HARVARD BUSINESS SCHOOL,"This book offers managers advice on building teams, making the most of diverse skills, avoiding common problems, managing conflict, generating fresh ideas, boosting productivity, communication, and reward systems. There is no index. Annotation ©2004 Book News, Inc., Portland, OR (booknews.com)"," Business & Economics , Workplace Culture",2004
Small Miracles for Women: Extraordinary Coincidences of Heart and Spirit (Small Miracles (Adams Media)),"By Halberstam, Yitta and Leventhal, Judith",A woman's guide to the miraculous in everyday life presents a collection of sixty real-life stories that describe the extraordinary coincidences that can transform one's life. Original.," Self-help , Motivational & Inspirational",2008
Discoveries: Forbidden City (Discoveries Series),"By Beguin, Giles and Morel, Dominque",Traces the history of the Chinese palace that was reserved exclusively for the Emperor and his court," History , Asia , China",1997
The Story of Edgar Sawtelle: A Novel (P.S.),"By Wroblewski, David","The extraordinary debut novel that became a modern classicBorn mute, speaking only in sign, Edgar Sawtelle leads an idyllic life with his parents on their farm in remote northern Wisconsin. For generations, the Sawtelles have raised and trained a fictional breed of dog whose remarkable gift for companionship is epitomized by Almondine, Edgar's lifelong friend and ally. Edgar seems poised to carry on his family's traditions, but when catastrophe strikes, he finds his once-peaceful home engulfed in turmoil.Forced to flee into the vast wilderness lying beyond the Sawtelle farm, Edgar comes of age in the wild, fighting for his survival and that of the three yearling dogs who accompany him, until the day he is forced to choose between leaving forever or returning home to confront the mysteries he has left unsolved.Filled with breathtaking scenes—the elemental north woods, the sweep of seasons, an iconic American barn, a fateful vision rendered in the falling rain—The Story of Edgar Sawtelle is a meditation on the limits of language and what lies beyond, a brilliantly inventive retelling of an ancient story, and an epic tale of devotion, betrayal, and courage in the American heartland."," Fiction , Family Life",2009
"Who Was That Masked Man, Anyway?",By Avi,"World War II is just background noise for Frankie Wattleson. His life revolves around action-packed radio dramas like ""Buck Rodgers"" and ""The Lone Ranger."" Suspense, heroism, thrills -- what more could an American boy want?Frankie's mom can't stand her son's hobby, though, and neither can his teacher, MissGomez. It all spells doomsday for Frankie -- unless he, disguised as radio detective Chet Barker, can cook up a plan to save the day.Tune in tomorrow to find out how this hilarious drama unfolds!"," Juvenile Fiction , School & Education",1994
The Bro Code,"By Stinson, Barney and Kuhn, Matt","From the hit TV show How I Met Your Mother comes Barney Stinson’s words of wit, wisdom, and awesomeness, The Bro Code—the New York Times bestseller (really!) with more than a million copies in print all around the world.Everyone’s life is governed by an internal code of conduct. Some call it morality. Others call it religion. But Bros in the know call this Holy Grail The Bro Code.The Bro Code is a living document, much like the Constitution. Except instead of outlining a government, or the Bill of Rights, or anything even resembling laws, The Bro Code provides men with all the rules they need to know in order to become a “bro” and behave properly among other bros. Historically a spoken tradition passed from one generation to the next and dating back to the American Revolution, the official code of conduct for Bros appears here in its published form for the first time ever. By upholding the tenets of this sacred and legendary document, any dude can learn to achieve Bro-dom.Containing approximately 150 “unspoken” rules, this code of conduct for bros can range from the simple (bros before hos) to the complex (the hot-to-crazy ratio, complete with bar graphs and charts). With helpful sidebros The Bro Code will help any ordinary guy become the best bro he can be. Let ultimate bro and coauthor Barney Stinson and his book, The Bro Code share their wisdom, lest you be caught making eye contact in a devil’s three-way (two dudes, duh)."," Humor , Topic , Men, Women & Relationships",2008
"To Shining Sea: A History of the United States Navy, 1775-1991","By Howarth, Stephen","Traces the development of American sea power from the early days of the U.S. Navy to the Persian Gulf crisis, offering recreations of memorable sea battles and studies of technical advances, campaigns, and personalities"," History , Military , Naval",1991
The Trouble with Islam: A Muslim's Call for Reform in Her Faith,"By Manji, Irshad","""I have to be honest with you. Islam is on very thin ice with me....Through our screaming self-pity and our conspicuous silences, we Muslims are conspiring against ourselves.  We're in crisis and we're dragging the rest of the world with us.  If ever there was a moment for an Islamic reformation, it's now.  For the love of God, what are we doing about it?""In blunt, provocative, and deeply personal terms, Irshad Manji unearths the troubling cornerstones of mainstream Islam today: tribal insularity, deep-seated anti-Semitism, and an uncritical acceptance of the Koran as the final, and therefore superior, manifesto of God. In this open letter to Muslims and non-Muslims alike, Manji asks arresting questions. ""Who is the real colonizer of Muslims - America or Arabia? Why are we all being held hostage by what's happening between the Palestinians and the Israelis?  Why are we squandering the talents of women, fully half of God's creation?  What's our excuse for reading the Koran literally when it's so contradictory and ambiguous?  Is that a heart attack you're having?  Make it fast.  Because if more of us don't speak out against the imperialists within Islam, these guys will walk away with the show.""Manji offers a practical vision of how the United States and its allies can help Muslims undertake a reformation that empowers women, promotes respect for religious minorities, and fosters a competition of ideas. Her vision revives Islam's lost tradition of independent thinking. This book will inspire struggling Muslims worldwide to revisit the foundations of their faith. It will also compel non-Muslims to start posing the important questions without fear of being deemed ""racists.""  In more ways than one, The Trouble with Islam is a clarion call for a fatwa-free future."," Religion , Islam , General",2004
Julia Child: A Life (Penguin Lives),"By Shapiro, Laura","Author of the forthcoming What She Ate: Six Remarkable Women and the Food That Tells Their Stories (Summer 2017)With a swooping voice, an irrepressible sense of humor, and a passion for good food, Julia Child ushered in the nation’s culinary renaissance. In Julia Child, award-winning food writer Laura Shapiro tells the story of Child’s unlikely career path, from California party girl to coolheaded chief clerk in a World War II spy station to bewildered amateur cook and finally to the Cordon Bleu in Paris, the school that inspired her calling. A food lover who was quintessentially American, right down to her little-known recipe for classic tuna fish casserole, Shapiro’s Julia Child personifies her own most famous lesson: that learning how to cook means learning how to live."," Cooking , Methods , General",2009
The Faith of the American Soldier,"By Mansfield, Stephen","An exploration of the major wars in U.S. history as seen through the religious faith of the men and women serving in the military.  Since men and women in battle not only face the prospect of their own deaths but also must fashion a moral rationale for killing, the battlefield is often a place of tremendous religious transformation.  Do men and women at war revert to the faith of their youth or do they gravitate to the spirituality around them? Do they lose all faith in the face of horror, or do they piece together an informal faith that simply gets them through the fight? Are they better warriors and do they experience less post-traumatic stress if they believe their war is righteous and that they are agents of good? These are the questions Stephen Mansfield addresses in The Faith of the American Soldier.  The book opens with the core question which lies at the heart of the matter: what happens religiously to America's warriors when they go to battle, and what impact does this have on the nation's conduct of war? Mansfield surveys America's wars from a theological perspective in order to understand the theological framing and religious rationale for each, where they came from, and what effect they had on behavior on the battlefield.  Mansfield examines the religious nature of the warrior ethic today. There is a new generation on the battlefield now, one raised with less religious training and less connection to history than any that has come before. Soldiers are left to their own religious choices to frame their moral perspectives on war, on killing, and on the possibility of death. Mansfield explores these choices through the lens of his deep respect for the military-he comes from a long line of U.S. Army officers-and from his background as a Ph.D. in American history, and his more than twenty years' experience as a pastor."," Religion , Faith",2005
"Motherless Daughters: The Legacy of Loss, Second Edition","By Edelman, Hope","The classic New York Times bestseller that has helped millions of women cope with and heal from the grief of losing their mothers Although a mother's mortality is inevitable no book has discussed the profound lasting and far reaching effects of this loss until Motherless Daughters, which became an instant classic. More than twenty years later, it is still the go-to book that women of all ages look to for comfort, help, and understanding when their mother dies. Building on interviews with hundreds of mother loss survivors, Edelman's personal story of losing her mother, and recent research in grief and psychology, Motherless Daughters reveals the shared experiences and core identity issues of motherless women:Why the absence of a nurturing hand shapes a woman's identity throughout her lifespanHow present day relationships are defined by past lossesHow a woman can resolve past conflicts and move toward acceptance and healingWhy grief really is not a linear passage but an ongoing cyclical journeyHow the legacy of mother loss shifts with the passage of time"," Psychology , Emotions",2006
"Triathlete Magazine's Complete Triathlon Book: The Training, Diet, Health, Equipment, and Safety Tips You Need to Do Your Best","By Fitzgerald, Matt","A comprehensive, illustrated guide to the triathlon draws on expert advice from leading coaches and athletes on essential training, diet and nutrition programs, health and fitness, equipment, and safety for athletes at all levels. Original."," Sports & Recreation , Triathlon",2003
Justice Deferred,"By Williams, Len","A terrifying novel inspired by a true story follows a father in search of his lost son, and closure--a journey that will take him into the heart of the nation's criminal justice system and force a confrontation with a cold-hearted killer."," Fiction , Legal",2002
The Everything Pregnancy Fitness Book,"By Weiss, Robin Elise","Now you can regain control of your body and prepare for the rigors of childbirth with The Everything Pregnancy Fitness Book. Recent studies indicate that exercise during pregnancy can alleviate discomfort, increase energy levels, speed labor, and reduce the risk of complications. The Everything Pregnancy Fitness Book walks you through specially tailored exercises for toning and strengthening legs, arms, abdominal muscles, and the lower back-the parts of the body most affected by pregnancy and childbirth. Also included are tips and expert advice for creating a safe fitness plan for each trimester, dealing with the strains of pregnancy, and relieving stress.The Everything Pregnancy Fitness Book shows you how to:Assess your exercise needs and abilitiesExercise safely and avoid injuryEstablish a routine for walking, swimming, yoga, and aerobic activityCreate a program that enables you to lose weight quickly after your baby is bornThe Everything Pregnancy Fitness Book provides risk-free workouts to promote good health and well-being before, during, and after delivery."," Health & Fitness , Exercise",2004
Scribbling the Cat: Travels with an African Soldier,"By Fuller, Alexandra","When Alexandra (""Bo"") Fuller was home in Zambia a few years ago, visiting her parents for Christmas, she asked her father about a nearby banana farmer who was known for being a ""tough bugger."" Her father's response was a warning to steer clear of him; he told Bo: ""Curiosity scribbled the cat."" Nonetheless, Fuller began her strange friendship with the man she calls K, a white African and veteran of the Rhodesian war. With the same fiercely beautiful prose that won her acclaim forDon't Let's Go to the Dogs Tonight, Fuller here recounts her friendship with K.K is, seemingly, a man of contradictions: tattooed, battle scarred, and weathered by farm work, he is a lion of a man, feral and bulletproof. Yet he is also a born-again Christian, given to weeping when he recollects his failed romantic life, and more than anything else welling up inside with memories of battle. For his war, like all wars, was a brutal one, marked by racial strife, jungle battles, unimaginable tortures, and the murdering of innocent civilians—and K, like all the veterans of the war, has blood on his hands.Driven by K's memories, Fuller and K decide to enter the heart of darkness in the most literal way—by traveling from Zambia through Zimbabwe (formerly Rhodesia) and Mozambique to visit the scenes of the war and to meet other veterans. It is a strange journey into the past, one marked at once by somber reflections and odd humor and featuring characters such as Mapenga, a fellow veteran who lives with his pet lion on a little island in the middle of a lake and is known to cope with his personal demons by refusing to speak for days on end. What results from Fuller's journey is a remarkably unbiased and unsentimental glimpse of men who have killed, mutilated, tortured, and scrambled to survive during wartime and who now must attempt to live with their past and live past their sins. In these men, too, we get a glimpse of life in Africa, a land that besets its creatures with pests, plagues, and natural disasters, making the people there at once more hardened and more vulnerable than elsewhere.Scribbling the Cat is an engrossing and haunting look at war, Africa, and the lines of sanity."," Biography & Autobiography , Personal Memoirs",2005
The Dragon Queen (Tales of Guinevere),"By Borchardt, Alice","Arthur turned and strode toward us. He was magnificent, and I will never forget that, in that moment, I first loved him. And I believe--had I known what the future held for us: all the trouble, torment, battle, and grief of our lives--I still believe that I would have yielded my heart into his keeping as I did then . . .In a sweeping epic of the imagination, Alice Borchardt enters the wondrous realm of Arthurian legend and makes it her own. The Dragon Queen is the first volume in a trilogy of novels that boldly re-imagines Camelot--and casts Guinevere as a shrewd, strong-willed, magical warrior queen.Born into a world of terrible strife, where war is constant and weapons are never far from the hands of men or women, Guinevere, daughter of a mighty pagan queen, is a threat to her people and a prize to the dreaded sorcerer Merlin. Sent into hiding, she grows up under the protection of a shapeshifting man-wolf and an ornery Druid. But even on the remote coast of Scotland, where dragons feed and watch over her, she is not safe from the all-seeing High Druid Merlin. He knows the young beauty's destiny, and he will stop at nothing to prevent what has been foretold. For if Guinevere becomes Queen and Arthur, King, they will bring a peace to the land that will leave the power-hungry Merlin a shriveled magician in a weary cloak.Yet Guinevere possesses power of her own--dazzling power to rival even that of Merlin. Summoned from her home by forces she cannot fathom, she travels from the Underworld to an Otherworld of the Past, at each step calling on ancient powers to aid her way. When young Guinevere proves her mettle to an embarrassed Merlin, even her faithful dragon protectors cannot prevent the evil that the sorcerer rains down. Seeking revenge, Merlin banishes Arthur to a world from which the only escape is death. Now Guinevere must face Merlin's wrath without him--and prove that she is worthy of being Arthur's Queen.From the glass-roofed Great Hall at Tintigal to the lush garden forts of Wales, Alice Borchardt details the travels of Guinevere in a rich fabric of prose. The Dragon Queen is a novel of great emotional depth, timeless romance, and soul-stirring adventure.From the Hardcover edition."," Fiction , Fantasy , Historical",2003
Idoru (Bridge Trilogy),"By Gibson, William","“The best novel William Gibson has ever written about the world we’re entering daily. Neuromancer made Gibson famous; Idoru cements that fame.”—The Washington Post Book World21st century Tokyo, after the millennial quake.  Neon rain. Light everywhere blowing under any door you might try to close.  Where the New Buildings, the largest in the world, erect themselves unaided, their slow rippling movements like the contractions of a sea-creature...Colin Laney is here looking for work. He is an intuitive fisher for patterns of information, the “signature” an individual creates simply by going about the business of living. But Laney knows how to sift for the dangerous bits. Which makes him useful—to certain people.   Chia McKenzie is here on a rescue mission. She’s fourteen. Her idol is the singer Rez, of the band Lo/Rez. When the Seattle chapter of the Lo/Rez fan club decided that he might be in trouble in Tokyo, they sent Chia to check it out.   Rei Toei is the idoru—the beautiful, entirely virtual media star adored by all Japan. Rez has declared that he will marry her. This is the rumor that has brought Chia to Tokyo. True or not, the idoru and the powerful interests surrounding her are enough to put all their lives in danger..."," Fiction , Science Fiction , Adventure",1997
Bacchus & Me: Adventures in the Wine Cellar,"By McInerney, Jay","With acerbic wit, irreverent tone, and bountiful hilarious anecdotes,  Jay McInerney writes the first wine book that makes sense to all those  dazed by the prevailing, dull technical wine writing. McInerney  generously reveals all he's learned on his worldwide journey to  understand wine in chapters on reds, whites, dessert wines, champagne,  aperitifs, and more.  McInerney holds forth in forty-nine essays - with  agile humor; an astonishing amount of hard fact, and an ample dose of  personal taste - on: how to make your way around a German wine label;  what to drink with Thanksgiving turkey; the truth about Zinfandels; why  Burgundy is so hard to predict; Napa Valley's finest winemakers; the  pleasure of flinty Chablis, the deep satisfaction of port, the glorious  potential of Oregon's Pinot Noir; the respectability of RosT; and the  most colorful characters in the business. It is actually possible for a  reader of Bacchus & Me to take what is learned to the bank, and  immediately thereafter to wine shop or restaurant to indulge in the wine  of his or her fantasy with the confidence of a sommelier. Bacchus &  Me is for everyone interested in learning more about the wines of the  world. For both those of broad means and of modest purse, there is  intense vicarious pleasure to be found in McInerney's vinous adventures."," Cooking , Beverages , Wine & Spirits",2000
The Other Side,"By Robb, J. D., Blayney, Mary, Gaffney, Patricia, Langan, Ruth Ryan, and McComas, Mary Kay","Featuring a Lieutenant Eve Dallas novella, this collection of paranormal romance stories from five New York Times bestselling authors will take you to a realm where suspense, desire, and love have no bounds...   In J. D. Robb's ""Possession in Death,"" Lieutenant Eve Dallas has always sought justice for the dead, but now, a victim will seek her own vengeance—through Eve.  In Mary Blayney's ""The Other Side of the Coin,"" an earl and his countess struggle to understand one another, until they spend a day in each other's shoes-and bodies.  In Patricia Gaffney's ""The Dancing Ghost,"" a woman hires a spirit investigator to prove her ancestral home is haunted, but they end up debunking the mystery of love.  In Ruth Ryan Langan's ""Almost Heaven,"" a couple who dies in a car accident struggler to stay in their daughter's life to save her from the wrong man. And in Mary Kay McComas's ""Never Too Late to Love,"" a practical woman is faced with the most impractical ghosts, who can't rest in peace until they find what they have lost."," Fiction , Romance , General",2010
See No Evil: The True Story of a Ground Soldier in the CIA's War on Terrorism,"By Baer, Robert","In his explosive New York Times bestseller, top CIA operative Robert Baer paints a chilling picture of how terrorism works on the inside and provides startling evidence of how Washington politics sabotaged the CIA’s efforts to root out the world’s deadliest terrorists, allowing for the rise of Osama bin Laden and Al Qaeda and the continued entrenchment of Saddam Hussein in Iraq.A veteran case officer in the CIA’s Directorate of Operations in the Middle East, Baer witnessed the rise of terrorism first hand and the CIA’s inadequate response to it, leading to the attacks of September 11, 2001. This riveting book is both an indictment of an agency that lost its way and an unprecedented look at the roots of modern terrorism, and includes a new afterword in which Baer speaks out about the American war on terrorism and its profound implications throughout the Middle East.“Robert Baer was considered perhaps the best on-the-ground field officer in the Middle East.”–Seymour M. Hersh, The New YorkerFrom The PrefaceThis book is a memoir of one foot soldier’s career in the other cold war, the one against terrorist networks. It’s a story about places most Americans will never travel to, about people many Americans would prefer to think we don’t need to do business with.This memoir, I hope, will show the reader how spying is supposed to work, where the CIA lost its way, and how we can bring it back again. But I hope this book will accomplish one more purpose as well: I hope it will show why I am angry about what happened to the CIA. And I want to show why every American and everyone who cares about the preservation of this country should be angry and alarmed, too.The CIA was systematically destroyed by political correctness, by petty Beltway wars, by careerism, and much more. At a time when terrorist threats were compounding globally, the agency that should have been monitoring them was being scrubbed clean instead. Americans were making too much money to bother. Life was good. The White House and the National Security Council became cathedrals of commerce where the interests of big business outweighed the interests of protecting American citizens at home and abroad. Defanged and dispirited, the CIA went along for the ride. And then on September 11, 2001, the reckoning for such vast carelessness was presented for all the world to see."," Political Science , Terrorism",2003
